brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
88086.0,for_sale,130000.0,,,0.42,1902763.0,Aguada,Puerto Rico,602.0,,
46019.0,for_sale,95000.0,,,0.37,1188098.0,Aguada,Puerto Rico,602.0,,
47983.0,for_sale,329000.0,,,0.23,939073.0,Rincon,Puerto Rico,602.0,,
46019.0,for_sale,130000.0,,,0.68,6711.0,Aguada,Puerto Rico,602.0,,
102017.0,for_sale,94770.0,,,0.25,166251.0,Aguada,Puerto Rico,602.0,,
88086.0,for_sale,150000.0,,,0.38,1902760.0,Aguada,Puerto Rico,602.0,,
46019.0,for_sale,165000.0,,,0.4,167086.0,Aguada,Puerto Rico,602.0,,
107152.0,for_sale,215000.0,3.0,2.0,0.22,595559.0,Aguadilla,Puerto Rico,603.0,2070.0,
52707.0,for_sale,63000.0,3.0,2.0,0.05,1856967.0,Aguadilla,Puerto Rico,603.0,1184.0,
107152.0,for_sale,215000.0,3.0,2.0,0.22,1268649.0,Aguadilla,Puerto Rico,603.0,1900.0,
48586.0,for_sale,115000.0,3.0,1.0,0.2,1962563.0,Aguadilla,Puerto Rico,603.0,980.0,
52707.0,for_sale,99000.0,4.0,2.0,0.89,1499349.0,Aguadilla,Puerto Rico,603.0,1408.0,
102017.0,for_sale,850000.0,5.0,5.0,0.62,792809.0,Aguadilla,Puerto Rico,603.0,8460.0,
92147.0,for_sale,140000.0,3.0,2.0,0.11,1868702.0,Aguadilla,Puerto Rico,603.0,1116.0,
1123.0,for_sale,499000.0,4.0,3.0,0.26,117065.0,Aguadilla,Puerto Rico,603.0,3734.0,
87549.0,for_sale,180000.0,3.0,2.0,0.17,846259.0,Aguadilla,Puerto Rico,603.0,1500.0,
61710.0,for_sale,225900.0,6.0,3.0,0.49,1946283.0,Aguadilla,Puerto Rico,603.0,2618.0,
65672.0,for_sale,260000.0,4.0,2.0,0.12,1136713.0,Aguadilla,Puerto Rico,603.0,1760.0,
102017.0,for_sale,31179.0,,,0.13,1987983.0,Aguadilla,Puerto Rico,603.0,,
52707.0,for_sale,500000.0,4.0,3.0,0.33,1902866.0,Aguadilla,Puerto Rico,603.0,2950.0,
103378.0,for_sale,225000.0,3.0,2.0,0.21,1838380.0,Aguada,Puerto Rico,603.0,1565.0,
46019.0,for_sale,28000.0,,,0.25,1236850.0,Aguadilla,Puerto Rico,603.0,,
60028.0,for_sale,425000.0,4.0,2.0,0.95,1946165.0,Aguadilla,Puerto Rico,603.0,3468.0,
34632.0,for_sale,300000.0,4.0,2.0,10.76,1258490.0,Aguadilla,Puerto Rico,603.0,547.0,
101.0,for_sale,75000.0,,,0.19,1902896.0,Aguadilla,Puerto Rico,603.0,,
107152.0,for_sale,290000.0,3.0,2.0,0.15,117027.0,Aguadilla,Puerto Rico,603.0,2280.0,
52707.0,for_sale,550000.0,3.0,4.0,0.2,483647.0,Aguadilla,Puerto Rico,603.0,4020.0,
72457.0,for_sale,234900.0,6.0,2.0,0.18,1850808.0,Aguadilla,Puerto Rico,603.0,2035.0,
102017.0,for_sale,44720.0,,,0.18,1839304.0,Aguadilla,Puerto Rico,603.0,,
46019.0,for_sale,35000.0,,,0.4,1946284.0,Aguadilla,Puerto Rico,603.0,,
52707.0,for_sale,75000.0,,,0.4,1868632.0,Aguadilla,Puerto Rico,603.0,,
46019.0,for_sale,37000.0,,,0.42,1946165.0,Aguadilla,Puerto Rico,603.0,,
103378.0,for_sale,37359.0,,,0.22,913730.0,Aguadilla,Puerto Rico,603.0,,
102017.0,for_sale,739500.0,,,2.43,598237.0,Aguadilla,Puerto Rico,603.0,,
107152.0,for_sale,65000.0,,,0.28,595558.0,Aguadilla,Puerto Rico,603.0,,
103378.0,for_sale,56406.0,,,0.33,1667035.0,Aguadilla,Puerto Rico,603.0,,
107152.0,for_sale,620000.0,5.0,3.0,0.52,119241.0,Aguadilla,Puerto Rico,603.0,3267.0,
72457.0,for_sale,649900.0,8.0,3.0,0.19,1850840.0,Aguadilla,Puerto Rico,603.0,3700.0,
103378.0,for_sale,44995.0,,,0.26,595223.0,Aguadilla,Puerto Rico,603.0,,
103378.0,for_sale,37779.0,,,0.22,1563956.0,Aguadilla,Puerto Rico,603.0,,
103378.0,for_sale,60123.0,,,0.35,1838382.0,Aguadilla,Puerto Rico,603.0,,
103378.0,for_sale,38279.0,,,0.23,6248.0,Aguadilla,Puerto Rico,603.0,,
103378.0,for_sale,199900.0,,,11.0,1838381.0,Aguada,Puerto Rico,603.0,,
102017.0,for_sale,125000.0,,,0.22,822915.0,Aguadilla,Puerto Rico,603.0,,
52707.0,for_sale,200000.0,,,0.49,1857008.0,Aguadilla,Puerto Rico,603.0,,
102017.0,for_sale,150000.0,,,0.2,6707.0,Aguadilla,Puerto Rico,603.0,,
92147.0,for_sale,8000000.0,,,247.57,6475.0,Isabela,Puerto Rico,603.0,,
19383.0,for_sale,1000000.0,,,5.0,1850843.0,Aguadilla,Puerto Rico,603.0,,
52707.0,for_sale,695000.0,,,1.89,1902854.0,Aguadilla,Puerto Rico,603.0,,
103378.0,for_sale,98000.0,5.0,2.0,4.55,1850836.0,Maricao,Puerto Rico,606.0,2156.0,
103378.0,for_sale,55000.0,5.0,2.0,5.14,1857017.0,Maricao,Puerto Rico,606.0,2156.0,
52707.0,for_sale,75000.0,5.0,2.0,4.86,1856895.0,Maricao,Puerto Rico,606.0,1563.0,
46475.0,for_sale,80000.0,3.0,1.0,0.35,1897887.0,Maricao,Puerto Rico,606.0,915.0,
52707.0,for_sale,160000.0,,,12.25,1902838.0,Maricao,Puerto Rico,606.0,,
52464.0,for_sale,46900.0,3.0,1.0,,1757054.0,Mayaguez,Puerto Rico,680.0,982.0,
102017.0,for_sale,125000.0,8.0,5.0,0.09,436480.0,Hormigueros,Puerto Rico,660.0,2000.0,
52707.0,for_sale,95000.0,2.0,2.0,0.15,595722.0,Guanica,Puerto Rico,653.0,1393.0,
57043.0,for_sale,330000.0,3.0,2.0,1.75,1902816.0,Cabo Rojo,Puerto Rico,623.0,1620.0,
60028.0,for_sale,115000.0,3.0,2.0,0.09,1394934.0,Mayaguez,Puerto Rico,680.0,1760.0,
31239.0,for_sale,285000.0,2.0,1.0,4.74,575006.0,Cabo Rojo,Puerto Rico,623.0,1000.0,
52464.0,for_sale,215000.0,7.0,4.0,0.11,1480314.0,Mayaguez,Puerto Rico,680.0,2200.0,
61834.0,for_sale,115000.0,3.0,2.0,,962228.0,Cabo Rojo,Puerto Rico,623.0,1205.0,
87549.0,for_sale,140000.0,3.0,2.0,0.14,757729.0,Mayaguez,Puerto Rico,680.0,1200.0,
51202.0,for_sale,87000.0,3.0,1.0,0.04,13690.0,Mayaguez,Puerto Rico,682.0,,
52707.0,for_sale,250000.0,4.0,2.0,0.08,1071244.0,Cabo Rojo,Puerto Rico,623.0,3052.0,
52707.0,for_sale,70000.0,3.0,1.0,0.08,387673.0,San German,Puerto Rico,683.0,894.0,
102017.0,for_sale,190000.0,5.0,5.0,0.08,6946.0,Mayaguez,Puerto Rico,680.0,1600.0,
87549.0,for_sale,150000.0,3.0,1.0,0.07,598681.0,San German,Puerto Rico,683.0,363.0,
60831.0,for_sale,750000.0,12.0,6.0,0.52,1855338.0,Cabo Rojo,Puerto Rico,623.0,4800.0,
52707.0,for_sale,125000.0,,1.0,,939072.0,Mayaguez,Puerto Rico,682.0,390.0,
102017.0,for_sale,950000.0,9.0,8.0,0.17,1854848.0,Rincon,Puerto Rico,677.0,3852.0,
102017.0,for_sale,1200000.0,5.0,4.0,1.8,1181969.0,Aguada,Puerto Rico,677.0,6000.0,
81495.0,for_sale,495000.0,4.0,3.0,0.4,1446813.0,Lajas,Puerto Rico,667.0,6500.0,
87549.0,for_sale,90000.0,3.0,1.0,0.19,950033.0,Mayaguez,Puerto Rico,682.0,778.0,
77433.0,for_sale,395000.0,3.0,2.0,0.25,948184.0,Cabo Rojo,Puerto Rico,623.0,2800.0,
18211.0,for_sale,82000.0,1.0,1.0,,1840559.0,Mayaguez,Puerto Rico,680.0,471.0,
47983.0,for_sale,389000.0,2.0,2.0,,593379.0,Cabo Rojo,Puerto Rico,623.0,1356.0,
87549.0,for_sale,45000.0,,,0.2,1856894.0,Cabo Rojo,Puerto Rico,623.0,,
61710.0,for_sale,65000.0,,,0.26,49178.0,Cabo Rojo,Puerto Rico,623.0,,
87549.0,for_sale,80000.0,,,0.49,1855526.0,Cabo Rojo,Puerto Rico,623.0,,
87549.0,for_sale,120000.0,,,2.82,1897484.0,Cabo Rojo,Puerto Rico,623.0,,
87549.0,for_sale,70000.0,,,0.28,113181.0,Cabo Rojo,Puerto Rico,623.0,,
46019.0,for_sale,391000.0,,,20.4,10284.0,Hormigueros,Puerto Rico,660.0,,
46019.0,for_sale,160000.0,,,14.34,10282.0,Cabo Rojo,Puerto Rico,623.0,,
46019.0,for_sale,290000.0,,,16.22,10282.0,Cabo Rojo,Puerto Rico,623.0,,
46019.0,for_sale,835000.0,,,17.97,10282.0,Hormigueros,Puerto Rico,660.0,,
47983.0,for_sale,159000.0,,,0.44,1902890.0,Mayaguez,Puerto Rico,680.0,,
47983.0,for_sale,79000.0,,,0.25,1902821.0,Anasco,Puerto Rico,610.0,,
46019.0,for_sale,149900.0,3.0,2.0,0.15,6713.0,Anasco,Puerto Rico,610.0,1687.0,
48230.0,for_sale,106000.0,2.0,1.0,0.13,1966340.0,Anasco,Puerto Rico,610.0,826.0,
34632.0,for_sale,165000.0,5.0,3.0,0.11,560745.0,Anasco,Puerto Rico,610.0,2327.0,
86036.0,for_sale,499000.0,8.0,6.0,0.13,1307166.0,Anasco,Puerto Rico,610.0,,
46019.0,for_sale,140000.0,,,0.37,1667382.0,Anasco,Puerto Rico,610.0,,
46475.0,for_sale,450000.0,4.0,7.0,0.76,1793737.0,Isabela,Puerto Rico,662.0,4000.0,
96048.0,for_sale,485000.0,4.0,3.0,0.21,1446871.0,Isabela,Puerto Rico,662.0,3066.0,
52707.0,for_sale,1800000.0,6.0,3.0,0.97,1902806.0,Isabela,Puerto Rico,662.0,10000.0,
18211.0,for_sale,975000.0,6.0,4.0,16.0,1913925.0,Isabela,Puerto Rico,662.0,3739.0,
47983.0,for_sale,950000.0,4.0,2.0,0.49,6927.0,Rincon,Puerto Rico,677.0,2450.0,
47983.0,for_sale,349000.0,3.0,2.0,,1966335.0,Rincon,Puerto Rico,677.0,1688.0,
72457.0,for_sale,39900.0,3.0,1.0,,1862028.0,Arecibo,Puerto Rico,612.0,878.0,
72457.0,for_sale,29900.0,3.0,1.0,,1862027.0,Arecibo,Puerto Rico,612.0,878.0,
60830.0,for_sale,475000.0,1.0,3.0,0.13,1427607.0,Arecibo,Puerto Rico,612.0,10000.0,
60831.0,for_sale,200000.0,4.0,3.0,0.24,1946165.0,Arecibo,Puerto Rico,612.0,3413.0,
103378.0,for_sale,84900.0,4.0,2.0,0.1,1840770.0,Arecibo,Puerto Rico,612.0,,
52707.0,for_sale,148000.0,5.0,2.0,0.49,1902831.0,Arecibo,Puerto Rico,612.0,2058.0,
49592.0,for_sale,39500.0,1.0,1.0,0.14,1946165.0,Arecibo,Puerto Rico,612.0,800.0,
33888.0,for_sale,220000.0,6.0,3.0,0.45,1856978.0,Arecibo,Puerto Rico,612.0,2900.0,
52707.0,for_sale,75000.0,3.0,2.0,0.27,1856974.0,Arecibo,Puerto Rico,612.0,1100.0,
60830.0,for_sale,110000.0,4.0,2.0,0.13,1856516.0,Arecibo,Puerto Rico,612.0,1000.0,
60831.0,for_sale,150000.0,7.0,4.0,0.49,1946210.0,Arecibo,Puerto Rico,612.0,800.0,
103378.0,for_sale,69900.0,4.0,2.0,0.09,1840775.0,Arecibo,Puerto Rico,612.0,,
52707.0,for_sale,79000.0,6.0,3.0,0.09,1855343.0,Arecibo,Puerto Rico,612.0,2472.0,
52707.0,for_sale,65000.0,3.0,1.0,0.09,1856972.0,Arecibo,Puerto Rico,612.0,1044.0,
60830.0,for_sale,179000.0,5.0,3.0,0.08,1855451.0,Arecibo,Puerto Rico,612.0,2200.0,
62210.0,for_sale,145000.0,3.0,2.0,0.86,1427895.0,Arecibo,Puerto Rico,612.0,3500.0,
1589.0,for_sale,79000.0,3.0,1.0,0.13,821104.0,Arecibo,Puerto Rico,612.0,1262.0,
80224.0,for_sale,360000.0,5.0,2.0,0.42,1567105.0,Arecibo,Puerto Rico,612.0,6000.0,
29911.0,for_sale,50000.0,,,0.03,1967771.0,Arecibo,Puerto Rico,612.0,,
103378.0,for_sale,134900.0,,,0.25,1840769.0,Arecibo,Puerto Rico,612.0,1856.0,
92147.0,for_sale,94600.0,3.0,1.0,0.08,1992381.0,Arecibo,Puerto Rico,612.0,1009.0,
103378.0,for_sale,59900.0,,,0.34,1840776.0,Arecibo,Puerto Rico,612.0,,
1589.0,for_sale,239000.0,7.0,3.0,0.31,1551669.0,Arecibo,Puerto Rico,612.0,2715.0,
33888.0,for_sale,279000.0,3.0,3.0,0.19,1902853.0,Arecibo,Puerto Rico,612.0,2872.0,
52707.0,for_sale,100000.0,3.0,1.0,4.89,1900756.0,Arecibo,Puerto Rico,612.0,1028.0,
33888.0,for_sale,89000.0,,,1.48,1856938.0,Arecibo,Puerto Rico,612.0,,
40689.0,for_sale,168000.0,4.0,3.0,0.25,1902837.0,Arecibo,Puerto Rico,612.0,1600.0,
92147.0,for_sale,150000.0,3.0,2.0,0.29,1509489.0,Arecibo,Puerto Rico,612.0,1604.0,
88444.0,for_sale,60000.0,,,0.26,1850825.0,Arecibo,Puerto Rico,612.0,,
33888.0,for_sale,140000.0,8.0,2.0,0.13,918510.0,Arecibo,Puerto Rico,612.0,1500.0,
109906.0,for_sale,70000.0,2.0,1.0,0.1,1855345.0,Arecibo,Puerto Rico,612.0,680.0,
